"Category","Minor: Days> 40cm above High Tide Flooding","Moderate: Days> 60cm above High Tide Flooding","Major: Days> 80cm above High Tide Flooding"
1979,0,0,0
1980,0,0,0
1981,0,0,0
1982,0,0,0
1983,1,0,0
1984,0,0,0
1985,0,0,0
1986,0,0,0
1987,1,0,0
1988,0,0,0
1989,0,0,0
1990,0,0,0
1991,0,0,0
1992,0,0,0
1993,0,0,0
1994,0,0,0
1995,0,0,0
1996,0,0,0
1997,3,0,0
1998,0,0,0
1999,0,0,0
2000,2,0,0
2001,3,0,0
2002,1,0,0
2003,0,0,0
2004,1,0,0
2005,2,0,0
2006,2,0,0
2007,2,0,0
2008,5,0,0
2009,10,0,0
2010,2,0,0
2011,4,0,0
2012,4,0,0
2013,4,0,0
2014,7,0,0
2015,2,0,0
