"Month","Year 1992","Year 1993","Year 1994","Year 1995","Year 1996","Year 1997","Year 1998","Year 1999","Year 2000","Year 2001","Year 2002","Year 2003","Year 2004","Year 2005","Year 2006","Year 2007","Year 2008","Year 2009","Year 2010","Year 2011","Year 2012","Year 2013","Year 2014","Year 2015","Year 2016","Year 2017","Year 2018","Year 2019","Year 2020","Year 2021","Year 2022","Year 2023","Year 2024","Year 2025"
"Jan",,-24.835976,3.6159153,-18.31733,9.082184,60.514756000000006,9.263651,-39.3232,59.89838,88.193096,49.921393,46.03416,20.038016,58.331314,43.611284,70.151225,87.02448,129.8377,91.38445,116.13077,148.50824,80.894284,95.0675,94.80856999999999,65.13806,114.08819000000001,109.94801,108.27314,129.60252,155.55905,170.43139,199.94126,132.03716,144.71853000000002
"Feb",,-18.144704,9.609691,-5.0757336,22.453947,71.8967,-8.224258,-4.548973,81.98648999999999,100.823686,59.395187,45.228556000000005,29.018829999999998,40.972147,39.198983,56.014307,104.40624,132.29412,49.515024,100.73202,139.05229,50.42908,95.10513399999999,79.43077,69.552466,111.71133,92.42491,96.31636,115.75435,147.54740999999999,178.90896,202.52618,113.82897,156.32549
"Mar",,-23.699168,14.900669,0.5193483,24.134954,49.611844000000005,-47.912177,13.783325000000001,91.04324,92.00555,58.289386,27.260695000000002,41.703526,-1.7043978,56.488212000000004,48.614077,134.45456000000001,133.10353,-1.4375262,116.66274,155.94595999999999,56.773834,81.52785,70.72867500000001,47.08115,102.57128,110.590175,98.88234,113.60729,174.75872,175.96017999999998,191.07309,119.31729,134.50769000000003
"Apr",,-30.764518000000002,-7.3898280000000005,-5.8927936,22.049412,42.517565,-50.657243,31.357325999999997,71.78358,92.92593600000001,73.66969,46.855126,30.049426,-6.087337,63.690834,58.78147,123.41393500000001,100.82019000000001,12.439541,122.81103,144.32471999999999,91.99379400000001,74.60372,55.818047,11.3091525,90.99071,89.85896,121.533304,120.63253,199.93097,193.12088,197.35843,113.89227000000001,142.85737
"May",,-19.21803,-23.308953,-29.310163,11.348809,36.74078,-41.115545000000004,29.211544999999997,69.31391,80.1607,50.979495,42.361323,41.846531999999996,1.6326114,65.38427,44.43734,112.90374,88.18746,33.75389,137.08274,114.19203999999999,98.94137,82.26469999999999,60.564704,11.953517,77.61460000000001,94.39579400000001,118.21605000000001,141.655,183.66764,172.64797000000002,202.96238,126.03966999999999,
"Jun",,5.560922000000001,-11.299119,-23.723591,21.368409,43.64764,-24.0851,16.164113,80.191694,50.490312,80.21962,34.369174,35.747312,1.4136225,87.581456,58.572408,115.05962,83.73660600000001,45.861565,153.69959,109.55055,97.09361,78.27135,59.061367,37.95581,85.94184,108.67259,113.86101,130.97376,189.16342,179.0026,172.75639,127.85792000000001,
"Jul",,-3.1750917,-19.250266,8.0210315,43.21879,38.286260000000006,-33.577549999999995,31.295552999999998,84.44618,55.155803000000006,86.06145,33.39382,47.274455,23.433954,67.41317,84.3076,131.29063,112.9739,50.96774,143.92877000000001,116.91724500000001,87.90981000000001,79.18074999999999,44.781090000000006,53.5167,90.478346,122.71481,114.74258499999999,127.89215000000002,176.79386,195.30766,169.16896,134.48897000000002,
"Aug",,-18.086508000000002,-9.128087,33.774726,55.06643,29.424915,-20.114397999999998,37.165318,76.71338,63.78047000000001,69.7329,21.372043,42.388259999999995,18.556070000000002,56.728523,108.15520000000001,135.71264,112.02508,65.348946,149.63214,117.48328,86.26185,62.368505,49.755014,83.32552,101.71634,104.51293,115.19991999999999,131.6853,162.1847,204.26108000000002,150.24596000000003,147.51452,
"Sep",,-12.317897,-35.173833,33.252493,78.78817000000001,17.201584,-23.54949,58.001115999999996,90.78885000000001,68.088844,67.722805,32.990806,55.174186999999996,26.916344,50.018918,105.63836,145.35052000000002,109.853014,79.62213,155.27137,118.2358,106.890894,69.497906,70.460536,95.605284,110.27785,110.94928499999999,112.47,139.82992,157.95186,210.12086,154.21642,148.97636,
"Oct",16.973767000000002,-19.19926,-29.72505,28.713714000000003,71.336925,39.010383000000004,-21.01745,44.148706000000004,77.036634,55.478109999999994,72.100475,28.131291,53.740278,41.765515,49.781400000000005,92.307106,120.78632,89.729786,97.71100000000001,163.71612,100.28054,107.22073,79.19496,93.58474,103.34294,122.69094999999999,121.65779,130.45612,131.80289000000002,155.05238,190.72385,144.10453,150.31072,
"Nov",-8.384088,-12.526181000000001,-16.512517000000003,31.787182999999995,65.17717,33.678137,-36.211275,34.12353,72.24572,62.760239999999996,69.367,9.867288,37.42541,54.10192,60.936175,98.868236,110.94135,78.037426,81.73627,121.36821400000001,99.749856,105.152175,72.46719999999999,105.52350000000001,105.55493,105.0198,116.14513,140.85141000000002,128.62091,159.67934,178.40956,135.36628000000002,144.17654,
"Dec",3.9068046,-3.7520202,-19.580308000000002,21.256806,66.05663,44.671389999999995,-34.873743,45.3882,64.08081,54.168,50.27502,24.021884,31.295598000000002,58.874987,51.934439999999995,99.276796,123.5644,70.0808,104.31559,141.69565,110.211484,110.58352000000001,98.247685,89.33869999999999,107.56377,95.33332999999999,128.50687,146.14943,126.49766000000001,169.88543,199.29725000000002,133.81726999999998,159.99360000000001,
